Name,username,num_following,num_followers
KATY PERRY ,katyperry,172,93 369 751
Justin Bieber ,justinbieber,286 768,88 699 317
Taylor Swift ,taylorswift13,245,81 148 129
JOANNE ,ladygaga,130 511,63 997 129
Ellen DeGeneres ,TheEllenShow,36 319,62 588 079
Justin Timberlake ,jtimberlake,211,56 753 923
Kim Kardashian West ,KimKardashian,121,48 376 187
Britney Spears ,britneyspears,393 814,47 938 333
Selena Gomez ,selenagomez,1 281,45 945 224
jimmy fallon ,jimmyfallon,7 219,42 982 092
Ariana Grande ,ArianaGrande,66 714,42 217 817
Demi Lovato ,ddlovato,454,38 874 223
Jennifer Lopez ,JLo,1 692,37 532 371
Oprah Winfrey ,Oprah,267,34 336 209
LeBron James ,KingJames,165,33 244 051
Bill Gates ,BillGates,169,31 208 894
Kevin Hart ,KevinHart4real,544,30 841 367
Miley Ray Cyrus ,MileyCyrus,369,30 804 092
P!nk ,Pink,407,28 246 806
Lil Wayne WEEZY F ,LilTunechi,43,28 130 664
Wiz Khalifa ,wizkhalifa,780,27 804 845
Bruno Mars ,BrunoMars,114,26 460 279
KANYE WEST ,kanyewest,1,26 246 721
Neil Patrick Harris ,ActuallyNPH,79,25 593 162
daniel tosh ,danieltosh,129,25 102 683
Alicia Keys ,aliciakeys,593,24 030 712
Pitbull ,pitbull,2 661,22 767 655
Khloé ,khloekardashian,333,22 208 174
Conan O'Brien ,ConanOBrien,1,21 989 171
Kourtney Kardashian ,kourtneykardash,77,21 163 315
Marshall Mathers ,Eminem,0,20 781 429
NICKI MINAJ ,NICKIMINAJ,3 695,20 642 084
Kendall ,KendallJenner,143,19 978 386
Kylie Jenner ,KylieJenner,1 182,18 244 423
Blake Shelton ,blakeshelton,725,18 108 880
Chris Brown ,chrisbrown,1,17 678 737
ashton kutcher ,aplusk,752,17 548 621
Mariah Carey ,MariahCarey,87,16 689 205
Leonardo DiCaprio ,LeoDiCaprio,143,16 187 169
Christina Aguilera ,xtina,23,16 138 736
Jim Carrey ,JimCarrey,1,15 336 262
Kevin Durant ,KDTrey5,1 462,15 060 923
Ryan Seacrest ,RyanSeacrest,649,14 961 338
Snoop Dogg ,SnoopDogg,2 702,14 636 989
BEYONCÉ ,Beyonce,10,14 604 498
Paris Hilton ,ParisHilton,7 073,13 855 030
i.am+ ,iamwill,1 395,13 622 394
Tyra Banks ,tyrabanks,1 169,13 515 832
Maroon 5 ,maroon5,414,13 298 757
Ashley Tisdale ,ashleytisdale,198,13 252 356
Zac Efron ,ZacEfron,74,12 928 200
SHAQ ,SHAQ,677,12 702 287
Tom Hanks ,tomhanks,24,12 210 302
Stephen Colbert ,StephenAtHome,22,11 965 120
Sean Diddy Combs ,iamdiddy,1 812,11 719 947
Charlie Sheen ,charliesheen,153,11 668 919
Ludacris ,Ludacris,324,11 646 194
Usher Raymond IV ,Usher,513,11 402 470
Kelly Clarkson ,kelly_clarkson,64,11 188 966
Seth MacFarlane ,SethMacFarlane,385,10 946 541
Nick Jonas ,nickjonas,680,10 875 012
Aziz Ansari ,azizansari,0,10 829 752
Kobe Bryant ,kobebryant,240,10 767 414
Dwayne Johnson ,TheRock,74,10 520 023
Trey Songz ,TreySongz,3 638,10 341 547
Austin Mahone ,AustinMahone,89 739,9 622 038
Victoria Justice ,VictoriaJustice,1 981,9 457 260
Jessica Alba ,jessicaalba,1 320,9 371 980
Pharrell Williams ,Pharrell,1 012,9 349 444
Lindsay Lohan ,lindsaylohan,530,9 312 088
Sean Don ,BigSean,2 140,9 244 680
Cameron Dallas ,camerondallas,19 565,9 083 089
Marc Anthony ,MarcAnthony,737,8 905 101
Sarah Silverman ,SarahKSilverman,712,8 898 502
J. Cole ,JColeNC,406,8 778 803
John Cena ,JohnCena,2 333,8 756 823
50cent ,50cent,18,8 723 410
Anderson Cooper ,andersoncooper,249,8 649 168
Channing Tatum ,channingtatum,297,8 580 999
Carmelo Anthony ,carmeloanthony,302,8 370 386
J O E J O N A S ,joejonas,1 119,8 319 951
LMFAO ,LMFAO,1 536,8 273 806
John Legend ,johnlegend,745,8 258 195
Jimmy Kimmel ,jimmykimmel,486,8 007 499
Mindy Kaling ,mindykaling,835,7 955 002
Steve Martin ,SteveMartinToGo,189,7 832 018
Kris Jenner ,KrisJenner,269,7 696 281
Luke Bryan ,LukeBryanOnline,11 761,7 680 293
Shawn Mendes ,ShawnMendes,54 771,7 618 905
Robert Downey Jr ,RobertDowneyJr,62,7 554 969
Miranda Cosgrove ,MirandaCosgrove,13 700,7 533 379
Eva Longoria Baston ,EvaLongoria,805,7 420 901
Ciara ,ciara,50,7 316 297
Jessica Simpson ,JessicaSimpson,162,7 260 030
Queen Latifah ,IAMQUEENLATIFAH,653,7 210 828
Kendrick Lamar ,kendricklamar,490,7 197 693
Stephen Curry ,StephenCurry30,629,7 191 327
IGGY AZALEA ,IGGYAZALEA,3 612,7 117 671
Serena Williams ,serenawilliams,337,7 097 604
T-Raww ,Tyga,4 477,7 065 332
Floyd Mayweather ,FloydMayweather,508,7 044 240
NE-YO ,NeYoCompound,7 525,6 969 862
KELENDRIA ROWLAND ,KELLYROWLAND,1 657,6 934 076
Zendaya ,Zendaya,1 686,6 914 251
Nicole Polizzi ,snooki,415,6 897 182
T.I. ,Tip,705,6 888 632
Adam Levine ,adamlevine,15 312,6 886 002
zooey deschanel ,ZooeyDeschanel,593,6 834 471
ROBERT KARDASHIAN ,robkardashian,230,6 716 784
Dwight Howard ,DwightHoward,7 711,6 551 410
